Country,Population,CODE,2014.malaria.cases,2013.malaria.cases,2012.malaria.cases,2011.malaria.cases,2010.malaria.cases,2009.malaria.cases,2008.malaria.cases,2007.malaria.cases,2006.malaria.cases,2005.malaria.cases,2004.malaria.cases,2003.malaria.cases,2002.malaria.cases,2001.malaria.cases,2000.malaria.cases,2014.malaria.deaths,2013.malaria.deaths,2012.malaria.deaths,2011.malaria.deaths,2010.malaria.deaths,2009.malaria.deaths,2008.malaria.deaths,2007.malaria.deaths,2006.malaria.deaths,2005.malaria.deaths,2004.malaria.deaths,2003.malaria.deaths,2002.malaria.deaths,2001.malaria.deaths,2000.malaria.deaths
Mauritania,,MRT,15835,1587,1888,2926,1994,940,302,,1061,,,,,,,19,25,106,77,211,91,,142,67,,,,,,
Mexico,,MEX,656,495,833,1124,1226,2703,2357,2361,2514,2967,3406,3819,4624,4996,7390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,,MOZ,7117648,2998874,1813984,1756874,1522577,93874,120259,141663,,,,,,,,3245,2941,2818,3086,3354,3747,4424,5816,,,,,,,
Myanmar,,MMR,152195,251273,480586,465294,420808,436068,447073,373958,203071,165737,152070,177530,173096,170502,120083,92,236,403,581,788,972,1087,1261,1647,1707,1982,2476,2634,2814,2556
Namibia,,NAM,15914,4911,194,1860,556,505,1092,4242,27690,23339,36043,20295,23984,41636,,61,21,4,36,63,68,152,181,571,1325,1185,1106,1504,1728,
Nepal,,NPL,1469,1974,2092,3414,3894,3335,3888,5621,4969,5050,4895,9506,12750,6396,7981,0,0,0,2,6,8,,3,42,10,7,5,3,1,
Nicaragua,,NIC,1163,1194,1235,925,692,610,762,1356,3114,6642,6897,6717,7695,10482,23878,0,0,2,1,1,0,0,0,1,6,1,7,8,2,4
Niger,,NER,1953309,2353422,2239858,780876,620058,309675,496858,249027,3956,56043,76030,56460,,,,2691,2209,2825,2802,3929,2159,2461,1358,1150,2060,1333,2248,2769,2366,1244
Nigeria,,NGA,7826954,,,,551187,479845,,,,,,,,,,6082,7878,7734,3353,4238,7522,8677,10289,6586,6494,6032,5343,4092,4317,
Oman,,OMN,0,0,0,0,24,0,8,4,0,0,0,6,6,2,6,0,0,0,0,0,2,2,0,0,0,,,,,
Pakistan,,PAK,275149,281755,290781,334589,240591,167579,104334,128380,123761,127536,125618,122560,107666,125292,82526,56,244,260,4,,,,24,9,52,,,,,
Panama,,PAN,874,705,844,354,418,778,744,1281,1663,3667,5095,4500,2244,928,1036,0,0,1,,1,0,1,1,1,1,2,4,2,1,1
Papua New Guinea,,PNG,281182,279994,150195,84060,93956,77758,84452,86955,93938,92957,91055,72620,75748,94484,79839,203,307,381,523,616,604,628,559,668,725,619,537,647,562,617
Paraguay,,PRY,0,0,0,1,18,91,348,1341,823,376,694,1392,2778,2710,6853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,,PER,64676,43468,31570,25039,31546,42645,44522,50797,64925,87699,93581,88408,99237,78544,68321,4,4,7,1,0,2,2,2,6,4,6,9,12,25,20
Philippines,,PHL,4903,6514,7133,9552,18560,19316,23655,36235,35405,46342,50850,,,,,10,12,16,12,30,24,56,73,124,145,167,162,71,439,536
Republic of Korea,,KOR,557,383,394,505,1267,898,1052,2227,2051,1369,864,1171,1799,2556,4183,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0
Russian Federation,,RUS,,,,0,0,0,0,0,102,205,382,533,642,898,795,,,,1,1,1,2,3,4,3,5,4,2,3,2
Rwanda,,RWA,1610812,962618,483470,208858,638669,698745,316242,382686,573686,683769,589315,553150,506028,423493,,496,409,459,380,670,809,566,1772,2486,2581,2362,2679,3167,4275,
Sao Tome and Principe,,STP,1754,9243,12550,8442,2740,6182,6258,2421,5146,18139,46486,42656,50586,42086,31975,0,11,7,19,14,23,16,3,26,85,169,193,321,248,254
Saudi Arabia,,SAU,30,34,82,69,29,58,61,467,270,204,308,700,1210,1603,4736,0,0,0,2,0,0,0,2,0,0,0,0,0,0,
Senegal,,SEN,265624,345889,281080,277326,343670,165933,241926,118332,48070,33160,22234,26865,14425,12920,44959,500,815,649,472,553,574,741,1935,1678,1587,1524,1602,1226,1515,1275
Sierra Leone,,SLE,1374476,1701958,1537322,638859,934028,646808,154459,,4932,4808,2206,3945,3702,2206,,2848,4326,3611,3573,8188,1734,871,324,90,50,126,157,461,328,
Solomon Islands,,SLB,18404,25609,24383,26657,39704,33002,40535,65404,75337,76390,90297,92227,74936,76493,68107,23,18,18,19,34,53,21,15,12,38,51,71,61,55,38
Somalia,,SOM,11001,7407,6817,1724,24553,25202,36905,16675,16430,12516,11436,7571,15732,,,14,23,10,5,6,45,49,45,58,15,79,54,8,,
South Africa,,ZAF,11705,8645,5629,9866,8060,6072,7796,6327,12098,7755,13399,13459,15649,26506,,174,105,72,54,83,45,43,37,87,63,88,142,96,81,424
South Sudan,,SSD,,262520,225371,112024,900283,,52011,,,,,,,,,,1311,1321,406,1053,254,263,,,,,,,,
Sri Lanka,,LKA,0,0,23,124,684,531,649,198,591,1640,3720,10510,41411,66522,210039,0,0,0,0,0,1,0,1,1,0,1,4,30,52,77
Sudan,,SDN,1068506,592383,526931,506806,720557,711462,569296,686908,721233,628417,537899,933267,280550,203491,368557,823,685,618,612,1023,1142,1125,1254,1193,1789,1814,2479,2125,2252,2162
Suriname,,SUR,374,729,356,771,1712,2380,2709,1741,3289,9131,8378,10982,12837,16003,11361,0,1,0,1,1,0,0,1,1,1,7,18,15,23,24
Swaziland,,SWZ,269,130,57,189,268,106,58,84,155,279,574,342,670,1395,,4,4,3,1,8,13,10,17,27,17,28,30,46,62,
Syrian Arab Republic,,SYR,0,0,0,0,0,0,0,0,0,0,1,2,15,63,6,4,1,1,0,0,1,1,1,2,2,,,,,
Tajikistan,,TJK,2,3,18,65,111,164,318,635,1316,2309,3588,5428,6160,11387,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thailand,,THA,37921,33302,32569,24897,32480,29462,28569,33178,30294,29782,26690,37355,44555,63528,78561,38,47,37,43,80,70,101,97,113,161,230,204,361,424,625
Timor-Leste,,TLS,342,1025,5211,19739,48137,47527,51260,52813,37896,43093,39164,33411,26651,,15212,1,3,3,16,58,53,33,60,68,71,65,,,,
Togo,,TGO,1130251,882430,697374,519450,617101,391338,344862,221110,,,,,,,,1205,1361,1197,1314,1507,1556,2663,1236,819,1024,1183,1130,1661,1394,
Turkey,,TUR,0,0,0,0,0,38,166,313,767,2084,5302,9222,10224,10812,11432,1,3,0,4,0,1,3,1,0,0,0,0,0,0,0
Turkmenistan,,TKM,,,,,0,0,0,0,1,1,3,7,18,8,24,,,,,0,0,0,0,0,0,0,0,0,0,0
Uganda,,UGA,3631939,1502362,2662258,231873,1581160,1301337,979298,1045378,867398,1104310,879032,801784,557159,,,5921,7277,6585,5958,8431,6296,2372,7003,4252,,,,,,
United Republic of Tanzania,,TZA,680807,1552444,1986955,2150761,1278998,3242,4585,1845917,1928296,2764049,2502382,1976614,42468,38537,17734,5373,8528,7820,11806,15867,16776,12434,12593,20962,18322,19859,15251,815,1228,379
Uzbekistan,,UZB,0,0,0,0,3,0,7,30,73,102,66,74,74,77,126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vanuatu,,VUT,982,2381,3435,4820,8169,4189,3765,5471,8055,9834,14653,15240,14339,7647,6768,0,0,0,1,1,2,4,5,1,5,3,14,13,4,3
Venezuela (Bolivarian Republic of),,VEN,90708,78643,52803,45824,45155,35828,32037,41749,37062,45049,46655,31719,29491,20006,29736,5,6,10,16,18,11,9,16,11,17,35,40,23,28,24
VietNam,,VNM,15752,17128,19638,16612,17515,16130,11355,16389,22637,19496,24909,38790,47807,68699,74316,6,6,8,14,21,26,25,20,41,18,34,50,50,91,142
Yemen,,YEM,67513,102778,109908,90410,106697,55446,44206,67677,55000,44150,48756,50811,75508,,1394495,19,55,72,75,92,38,,,73,,,,,,
Zambia,,ZMB,4077547,,,,,,,,,,,,,,,3257,3548,3705,4540,4834,3862,3781,6183,6484,7737,8289,9178,9021,9369,
Zimbabwe,,ZWE,535931,422633,276963,319935,249379,114028,32788,116518,,,,,,,,406,352,351,451,255,108,232,401,802,1916,1809,1044,1844,,
